paperId,authorId,name,affiliations
13c4e5a6122f3fa2663f63e49537091da6532f35,92954142,S. Bhattamishra,
13c4e5a6122f3fa2663f63e49537091da6532f35,144260125,Navin Goyal,
97906df07855b029b7aae7c2a1c6c5e8df1d531c,6117577,Ian Tenney,
97906df07855b029b7aae7c2a1c6c5e8df1d531c,143790066,Dipanjan Das,
97906df07855b029b7aae7c2a1c6c5e8df1d531c,2949185,Ellie Pavlick,
63d8426ba1f51a8525dd19fd8ec92934ec71aea5,152913678,Steven Y. Feng,
63d8426ba1f51a8525dd19fd8ec92934ec71aea5,3375999,Varun Gangal,
63d8426ba1f51a8525dd19fd8ec92934ec71aea5,144026731,Jason Wei,
63d8426ba1f51a8525dd19fd8ec92934ec71aea5,123607932,Sarath Chandar,
63d8426ba1f51a8525dd19fd8ec92934ec71aea5,1918441,Soroush Vosoughi,
63d8426ba1f51a8525dd19fd8ec92934ec71aea5,1706595,T. Mitamura,
63d8426ba1f51a8525dd19fd8ec92934ec71aea5,144547315,E. Hovy,
f4c4e148546089123f8da5db4fb246ab4062bd40,2120664,Bishal Lamichhane,
0d065e8688c38bb0148203a1738f47184a5b58d3,104406084,Adam Zaremba,
0d065e8688c38bb0148203a1738f47184a5b58d3,16775568,Ender Demir,
d47a682723f710395454687319bb55635e653105,3422038,Su Lin Blodgett,
d47a682723f710395454687319bb55635e653105,2881033,Solon Barocas,
d47a682723f710395454687319bb55635e653105,2065041692,Hal Daum'e,
d47a682723f710395454687319bb55635e653105,1831395,Hanna M. Wallach,
c9b56cb026a38e39bb0228faac57accd6f65e6f7,153769695,John X. Morris,
c9b56cb026a38e39bb0228faac57accd6f65e6f7,1453652787,Eli Lifland,
c9b56cb026a38e39bb0228faac57accd6f65e6f7,1693182792,Jin Yong Yoo,
c9b56cb026a38e39bb0228faac57accd6f65e6f7,1829303908,J. Grigsby,
c9b56cb026a38e39bb0228faac57accd6f65e6f7,2068347799,Di Jin,
c9b56cb026a38e39bb0228faac57accd6f65e6f7,121817403,Yanjun Qi,
0e141942fa265142f41a2a26eb17b6005d3af29e,47070483,Pratik M. Joshi,
0e141942fa265142f41a2a26eb17b6005d3af29e,50074956,Sebastin Santy,
0e141942fa265142f41a2a26eb17b6005d3af29e,2410839,A. Budhiraja,
0e141942fa265142f41a2a26eb17b6005d3af29e,3086996,Kalika Bali,
0e141942fa265142f41a2a26eb17b6005d3af29e,143990839,M. Choudhury,
579476d19566efc842929ea6bdd18ab760c8cfa2,41016275,Alon Jacovi,
579476d19566efc842929ea6bdd18ab760c8cfa2,79775260,Yoav Goldberg,
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,41052836,Anya Belz,
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,2122535749,Craig Thomson,
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,2113922820,Ehud Reiter,
